timestamp,pos_x,pos_y,pos_z,q_x,q_y,q_z,q_w
1751120448.7492115,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.771686,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.7894094,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.8130453,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.8280392,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.8511982,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.8721561,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.891698,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.909699,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.9271207,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.9500694,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.972983,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120448.988626,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.0129273,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.0322022,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.0530176,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.073325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.0901482,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.1117802,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.1325536,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.1522706,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.1728344,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.1934748,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.2119744,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.2331007,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.2531378,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.2730646,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.2923183,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.312961,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.3331366,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.35255,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.372445,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.3927934,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.4131954,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.4329844,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.4531155,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.4726696,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.4925308,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.512059,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.5328033,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.553137,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.5726612,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.5919812,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.6127765,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.6322153,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.6513455,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.6726234,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.6896508,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.712618,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.7324886,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.7525806,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.7728634,0.0,0.0,0.0,0.0,0.0,0.0,1.0
